1,0.94716,0.42355,0.58088,-0.066905,0.32598,0.28635,0.15486,-0.0047901,0.14945,0.13815,0.022461,0.15966,0.70717,0.41461,-0.10918,-0.13704,0.69696,0.38078,-0.45644,-0.29549,0.50914,0.71986,0.76972,0.30382,-1.1263,-0.52418,-0.3019,-0.46658,0.3748,0.13134,-0.60413
2,-0.55381,-0.70299,0.30742,0.36619,-0.1976,-0.18048,-0.65297,-0.39486,-0.33571,-0.29138,-0.15899,-0.21994,-0.14786,-0.067433,-0.47106,-0.66571,-0.26712,-0.11213,0.2926,0.22733,-0.36403,0.0087245,-0.11502,0.26562,0.26974,-0.40459,-0.26896,-0.20303,-1.2854,-1.0303,0.43615
3,-0.65265,-0.87905,-1.8894,-0.16081,-0.89501,-0.28167,-0.31896,-0.16691,-0.49051,-0.42552,0.27076,-0.051024,-0.31624,-0.39791,-0.28037,-0.31341,-0.51074,-0.39465,-1.012,-0.28464,-0.20524,-0.48044,-0.67751,-0.95514,-0.76399,-1.7458,-1.3591,-0.92181,-1.9719,-1.7784,-0.8423
4,1.3701,1.2172,1.9574,3.1117,1.458,0.9189,1.1539,0.72975,1.2698,0.033397,-0.12374,0.88421,1.5364,1.2284,1.3051,1.3891,1.3184,0.77005,1.8464,1.3494,0.73724,1.1595,1.0138,1.5281,2.6983,0.75971,-0.26842,-0.019034,1.6609,0.86583,3.2639
5,0.88285,0.085022,1.0898,0.56621,0.4994,0.22155,0.76069,0.82192,0.70355,-0.0087625,0.013522,0.33298,1.2544,1.4771,0.98635,1.2399,1.1372,1.3696,1.0185,0.80647,1.4098,1.3101,0.23028,0.026456,-0.33624,-1.328,0.84797,1.3515,-1.6832,-1.854,0.52952
6,0.50625,1.21,0.25143,-0.19964,-0.32491,0.16344,0.22071,0.62691,0.15437,-0.26328,0.040848,0.24505,0.60854,1.19,0.50263,0.63605,0.66023,1.2952,-0.10702,-0.40452,0.84413,0.31297,0.41857,0.20121,-0.34569,-0.3343,0.074153,0.095541,2.1058,0.90387,-0.42908
7,0.30907,-2.5944,-2.4398,-1.4029,-0.86404,-0.74589,-0.057796,-0.013812,-0.3985,-1.6926,-1.0453,-0.51528,0.59156,0.7099,0.51901,0.78442,0.66956,0.68211,-2.1312,-1.9422,-0.51241,-0.50004,0.67123,-0.20284,-2.7211,-2.1092,-3.2302,-2.6933,-4.1527,-3.0457,-0.93711
8,0.69868,0.38373,0.44705,0.087958,-0.79074,-0.48671,0.86014,0.56105,-0.045488,0.22041,-0.046159,0.26672,0.75202,1.3309,0.57928,0.7245,0.49943,1.053,0.26191,0.81725,1.1822,-0.19033,0.53528,-1.4771,-1.7636,1.3131,0.089255,-0.35317,0.399,0.61991,-1.1649
9,-0.59541,0.099035,-0.34463,-0.46953,-0.089554,0.045047,0.28538,-0.020296,0.15261,0.02027,0.10189,0.070542,0.084659,0.41389,0.27634,0.26897,-0.080041,0.19134,0.39315,-1.0472,-0.29078,0.12443,-0.018323,-0.096892,-0.27282,-1.6669,-0.38247,-0.044566,-0.19942,-0.85037,-0.38989
10,0.98968,-0.8784,1.1477,0.73527,-0.060727,0.35535,0.09689,0.51517,0.45076,-0.054118,0.0903,-0.12933,0.71961,0.80967,0.90556,1.3265,0.77572,1.1554,0.19848,0.17192,0.66887,0.58925,0.54057,-0.20312,-0.52016,-1.009,-0.4252,0.083594,0.69819,-0.97432,0.80699
